STARTDATE,ENDDATE,MEDIAN,MAD,VALUE,TYPE
2006-01-01,2006-02-13,255.5,262.5,14.0,Normal
2006-01-08,2006-02-20,255.5,262.5,14.0,Normal
2006-01-15,2006-02-27,255.5,262.5,14.0,Normal
2006-01-22,2006-03-06,255.5,262.5,14.0,Normal
2006-01-29,2006-03-13,255.5,262.5,14.0,Normal
2006-02-01,2006-03-16,255.5,262.5,14.0,Normal
2006-02-08,2006-03-23,255.5,262.5,14.0,Normal
2006-02-15,2006-03-30,255.5,262.5,14.0,Normal
2006-02-22,2006-04-06,255.5,262.5,14.0,Normal
2006-03-01,2006-04-13,255.5,262.5,14.0,Normal
2006-03-08,2006-04-20,255.5,262.5,14.0,Normal
2006-03-15,2006-04-27,255.5,262.5,14.0,Normal
2006-03-22,2006-05-04,255.5,262.5,14.0,Normal
2006-03-29,2006-05-11,255.5,262.5,14.0,Normal
2006-04-05,2006-05-18,255.5,262.5,14.0,Normal
2006-04-12,2006-05-25,255.5,262.5,14.0,Normal
2006-04-19,2006-06-01,255.5,262.5,14.0,Normal
2006-04-26,2006-06-08,255.5,262.5,14.0,Normal
2006-05-03,2006-06-15,255.5,262.5,14.0,Normal
2006-05-10,2006-06-22,255.5,262.5,14.0,Normal
2006-05-17,2006-06-29,255.5,262.5,14.0,Normal
2006-05-24,2006-07-06,250.5,260.0,14.0,Normal
2006-05-31,2006-07-13,250.5,260.0,14.0,Normal
2006-06-07,2006-07-20,250.5,260.0,14.0,Normal
2006-06-14,2006-07-27,250.5,260.0,14.0,Normal
2006-06-21,2006-08-03,293.0,281.25,14.0,Normal
2006-06-28,2006-08-10,295.5,282.5,14.0,Normal
2006-07-05,2006-08-17,300.5,285.0,14.0,Normal
2006-07-12,2006-08-24,303.0,286.25,14.0,Normal
2006-07-19,2006-08-31,305.5,287.5,14.0,Normal
2006-07-26,2006-09-07,305.5,287.5,14.0,Normal
2006-08-02,2006-09-14,305.5,287.5,14.0,Normal
2006-08-09,2006-09-21,305.5,287.5,14.0,Normal
2006-08-16,2006-09-28,305.5,287.5,14.0,Normal
2006-08-23,2006-10-05,310.5,290.0,14.0,Normal
2006-08-30,2006-10-12,315.5,298.75,14.0,Normal
2006-09-06,2006-10-19,315.5,316.25,14.0,Normal
2006-09-13,2006-10-26,315.5,318.75,14.0,Normal
2006-09-20,2006-11-02,315.5,320.0,14.0,Normal
2006-09-27,2006-11-09,315.5,322.5,14.0,Normal
2006-10-04,2006-11-16,315.5,328.75,14.0,Normal
2006-10-11,2006-11-23,315.5,366.25,14.0,Normal
2006-10-18,2006-11-30,315.5,366.25,14.0,Normal
2006-10-25,2006-12-07,315.5,366.25,14.0,Normal
2006-11-01,2006-12-14,315.5,366.25,14.0,Normal
2006-11-08,2006-12-21,315.5,316.25,14.0,Normal
2006-11-15,2006-12-28,250.5,260.0,14.0,Normal
2006-11-22,2007-01-04,163.0,216.25,14.0,Normal
2006-11-29,2007-01-11,138.0,203.75,14.0,Normal
2006-12-06,2007-01-18,120.5,195.0,14.0,Normal
2006-12-13,2007-01-25,120.5,195.0,14.0,Normal
2006-12-20,2007-02-01,120.5,195.0,14.0,Normal
2006-12-27,2007-02-08,120.5,195.0,14.0,Normal
2007-01-01,2007-02-13,125.5,197.5,14.0,Normal
2007-01-08,2007-02-20,133.0,201.25,14.0,Normal
2007-01-15,2007-02-27,163.0,216.25,14.0,Normal
2007-01-22,2007-03-06,170.5,220.0,14.0,Normal
2007-01-29,2007-03-13,183.0,226.25,14.0,Normal
2007-02-05,2007-03-20,188.0,228.75,14.0,Normal
2007-02-12,2007-03-27,195.5,232.5,14.0,Normal
2007-02-19,2007-04-03,205.5,237.5,14.0,Normal
2007-02-26,2007-04-10,228.0,248.75,14.0,Normal
2007-03-05,2007-04-17,238.0,253.75,14.0,Normal
2007-03-12,2007-04-24,238.0,253.75,14.0,Normal
2007-03-19,2007-05-01,245.5,257.5,14.0,Normal
2007-03-26,2007-05-08,259.5277790123479,264.51388950617394,14.0,Normal
2007-04-02,2007-05-15,263.0,266.25,14.0,Normal
2007-04-09,2007-05-22,263.0,266.25,14.0,Normal
2007-04-16,2007-05-29,275.5,272.5,14.0,Normal
2007-04-23,2007-06-05,288.0,278.75,14.0,Normal
2007-04-30,2007-06-12,300.5,285.0,14.0,Normal
2007-05-07,2007-06-19,305.5,287.5,14.0,Normal
2007-05-14,2007-06-26,313.0,291.25,14.0,Normal
2007-05-21,2007-07-03,315.5,293.75,14.0,Normal
2007-05-28,2007-07-10,315.5,300.625,14.0,Normal
2007-06-04,2007-07-17,315.5,310.4036456502273,14.0,Normal
2007-06-11,2007-07-24,314.9539452402964,311.5230273798518,14.0,Normal
2007-06-18,2007-07-31,314.75613151012453,317.07193376493694,14.0,Normal
2007-06-25,2007-08-07,314.4239814128387,320.882211861317,14.0,Normal
2007-07-02,2007-08-14,313.98065126641376,322.00967436679315,14.0,Normal
2007-07-09,2007-08-21,313.4489782010043,322.2755108994979,14.0,Normal
2007-07-16,2007-08-28,312.8514856396838,322.83573645962394,14.0,Normal
2007-07-23,2007-09-04,312.21038866663895,324.14480566668055,14.0,Normal
2007-07-30,2007-09-11,311.5475992855065,324.47620035724674,14.0,Normal
2007-08-06,2007-09-18,310.8847315704672,331.05763421476644,14.0,Normal
2007-08-13,2007-09-25,310.2431067126382,331.3784466436809,14.0,Normal
2007-08-20,2007-10-02,309.6437579642411,331.67812101787945,14.0,Normal
2007-08-27,2007-10-09,309.5,331.946282258525,14.0,Normal
2007-09-03,2007-10-16,309.5,332.17269446061687,14.0,Normal
2007-09-10,2007-10-23,309.5,333.5972585671511,14.0,Normal
2007-09-17,2007-10-30,309.5,334.96001008976765,14.0,Normal
2007-09-24,2007-11-06,309.5,337.4972508985744,14.0,Normal
2007-10-01,2007-11-13,309.5,338.2525511453565,14.0,Normal
2007-10-08,2007-11-20,309.5,338.75,14.0,Normal
2007-10-15,2007-11-27,309.5,338.75,14.0,Normal
2007-10-22,2007-12-04,309.0,338.85716959479436,13.0,Normal
2007-10-29,2007-12-11,308.42191382631484,333.00904236684687,12.0,Normal
2007-11-05,2007-12-18,308.42191382631484,333.2890430868426,10.0,Normal
2007-11-12,2007-12-25,308.42191382631484,333.2890430868426,10.0,Normal
2007-11-19,2008-01-01,307.0,305.9305561728393,7.0,Normal
2007-11-26,2008-01-08,254.5,272.25,7.0,Normal
2007-12-03,2008-01-15,179.5,234.75,7.0,Normal
2007-12-10,2008-01-22,167.0,228.75,6.0,Normal
2007-12-17,2008-01-29,154.0,222.75,6.0,Normal
2007-12-24,2008-02-05,154.0,222.75,6.0,Normal
2007-12-31,2008-02-12,153.5,223.0,6.0,Normal
2008-01-07,2008-02-19,153.0,223.25,6.0,Normal
2008-01-14,2008-02-26,153.0,223.25,6.0,Normal
2008-01-21,2008-03-04,153.0,219.5,6.0,Normal
2008-01-28,2008-03-11,165.5,222.03521880771896,6.0,Normal
2008-02-04,2008-03-18,173.0,222.46180557492406,6.0,Normal
2008-02-11,2008-03-25,190.5,231.0,6.0,Normal
2008-02-18,2008-04-01,203.0,234.75,6.0,Normal
2008-02-25,2008-04-08,203.0,234.75,6.0,Normal
2008-03-03,2008-04-15,203.0,234.75,6.0,Normal
2008-03-10,2008-04-22,153.0,212.25,6.0,Normal
2008-03-17,2008-04-29,127.5,202.5,5.0,Normal
2008-03-24,2008-05-06,127.5,202.84843250455307,5.0,Normal
2008-03-31,2008-05-13,127.5,203.73160927599568,5.0,Normal
2008-04-07,2008-05-20,153.0,217.21618942282294,5.0,Normal
2008-04-14,2008-05-27,190.5,235.96618942282294,5.0,Normal
2008-04-21,2008-06-03,193.0,237.21618942282294,5.0,Normal
2008-04-28,2008-06-10,193.0,237.67411722825736,5.0,Normal
2008-05-05,2008-06-17,193.0,239.32588277174264,5.0,Normal
2008-05-12,2008-06-24,193.0,239.07722028695832,6.0,Normal
2008-05-19,2008-07-01,193.09415559116076,239.04170207130167,6.057142465304332,Normal
2008-05-26,2008-07-08,193.5,238.86000695224868,7.0,Normal
2008-06-02,2008-07-15,196.0,238.06241206657043,7.0,Normal
2008-06-09,2008-07-22,196.0,238.09520550267962,7.0,Normal
2008-06-16,2008-07-29,198.5,239.37999942893327,7.0,Normal
2008-06-23,2008-08-05,204.0,236.6643377498842,8.0,Normal
2008-06-30,2008-08-12,204.0,234.19581214401853,8.0,Normal
2008-07-07,2008-08-19,204.00187504380534,234.22112338590037,8.002176112823749,Normal
2008-07-14,2008-08-26,204.0129329100475,231.3051423640639,8.021570723395747,Normal
2008-07-21,2008-09-02,204.03276772834027,229.22802455706264,8.058892725390253,Normal
2008-07-28,2008-09-09,204.0600722930591,229.21996385347046,8.111527707558151,Normal
2008-08-04,2008-09-16,202.64601941159026,228.4794703072157,8.176861258650321,Normal
2008-08-11,2008-09-23,200.9888397989115,227.6125580601791,8.252278967417654,Normal
2008-08-18,2008-09-30,194.17373240952625,221.6631337952369,8.335166422611033,Normal
2008-08-25,2008-10-07,194.21784390370368,224.1410780481482,8.422909212981338,Normal
2008-09-01,2008-10-14,194.26288911618434,224.13938808078515,8.512892927279456,Normal
2008-09-08,2008-10-21,194.3075608413437,226.59621957932814,8.602503154256272,Normal
2008-09-15,2008-10-28,194.35055187355724,229.1873994805962,8.689125482662671,Normal
2008-09-22,2008-11-04,194.3905550072003,229.60168451187977,8.770145501249537,Normal
2008-09-29,2008-11-11,196.92626303664844,231.96404678839036,8.842948798767754,Normal
2008-10-06,2008-11-18,196.95636875627702,235.93041308509007,8.904920963968205,Normal
2008-10-13,2008-11-25,196.96013602005067,260.1567036062164,8.920272040101349,Normal
2008-10-20,2008-12-02,194.46013602005067,259.4090697708947,8.920272040101349,Normal
2008-10-27,2008-12-09,187.0,266.2332792867312,8.920272040101349,Normal
2008-11-03,2008-12-16,179.5,265.8205134779413,8.0,Normal
2008-11-10,2008-12-23,179.5,268.75,7.0,Normal
2008-11-17,2008-12-30,154.5,259.0,5.0,Normal
2008-11-24,2009-01-06,153.5,257.0,5.0,Normal
2008-12-01,2009-01-13,103.5,243.5,5.0,Normal
2008-12-08,2009-01-20,103.0,236.125,5.0,Normal
2008-12-15,2009-01-27,101.79999980468756,236.4250000488281,5.0,Normal
2008-12-22,2009-02-03,101.43229148732884,236.57942712816777,4.5,Normal
2008-12-29,2009-02-10,101.43229148732884,236.57942712816777,4.5,Normal
2009-01-05,2009-02-17,101.43229148732884,236.51692712816777,5.0,Normal
2009-01-12,2009-02-24,143.0,242.25,5.0,Normal
2009-01-19,2009-03-03,153.0,247.25,5.0,Normal
2009-01-26,2009-03-10,153.5,247.0,5.0,Normal
2009-02-02,2009-03-17,158.5,249.25,6.0,Normal
2009-02-09,2009-03-24,191.0,265.5,6.0,Normal
2009-02-16,2009-03-31,196.5,267.75,6.0,Normal
2009-02-23,2009-04-07,204.5,271.25,6.0,Normal
2009-03-02,2009-04-14,254.83333332083333,295.5833333395833,8.0,Normal
2009-03-09,2009-04-21,330.0,333.0,8.0,Normal
2009-03-16,2009-04-28,347.596653423538,341.451673288231,8.0,Normal
2009-03-23,2009-05-05,355.3684212583941,348.5657893708029,10.0,Normal
2009-03-30,2009-05-12,355.5,351.0,10.0,Normal
2009-04-06,2009-05-19,356.0,350.4791659722338,12.0,Normal
2009-04-13,2009-05-26,356.0,381.5,12.0,Normal
2009-04-20,2009-06-02,356.0,387.8549380582226,12.0,Normal
2009-04-27,2009-06-09,356.0,390.1450619417774,12.0,Normal
2009-05-04,2009-06-16,356.26388811727537,393.8680559413623,12.0,Normal
2009-05-11,2009-06-23,356.5644793070701,393.71498570529343,12.005200441831045,Normal
2009-05-18,2009-06-30,356.85132914206434,393.5464914612048,12.090922915838352,Normal
2009-05-25,2009-07-07,357.0,393.42296520367313,12.274480852390454,Normal
2009-06-01,2009-07-14,357.25,405.72701441878473,12.546428068896814,Normal
2009-06-08,2009-07-21,357.5,443.0116652232193,12.897318382766905,Normal
2009-06-15,2009-07-28,357.5,442.90427916262456,13.317705611410188,Normal
2009-06-22,2009-08-04,357.5,455.2822177826481,13.798143572236144,Normal
2009-06-29,2009-08-11,357.5,455.14784262893755,14.329186082654234,Normal
2009-07-06,2009-08-18,357.5,455.0035152471405,14.90138696007392,Normal
2009-07-13,2009-08-25,357.79680563419055,442.3515971829047,15.505300021904686,Normal
2009-07-20,2009-09-01,358.1111000362446,442.1640235961653,16.13147908555598,Normal
2009-07-27,2009-09-08,358.4311296205857,441.8629962811373,16.770477968437284,Normal
2009-08-03,2009-09-15,358.7521712959187,441.486949246452,17.41285048795807,Normal
2009-08-10,2009-09-22,359.0695019709483,458.93569293529947,18.049150461527802,Normal
2009-08-17,2009-09-29,359.37839855437915,489.7782033750393,18.669931706555936,Normal
2009-08-24,2009-10-06,359.7419179489076,522.1605496923559,19.265748040451953,Normal
2009-08-31,2009-10-13,359.95199708126376,549.2025595166343,19.82715328062532,Normal
2009-09-07,2009-10-20,360.207252842127,549.0749316362027,20.344701244485506,Normal
2009-09-14,2009-10-27,360.4351821462104,563.8203504021194,20.808945749441982,Normal
2009-09-21,2009-11-03,360.63106190221885,564.7246567544944,21.210440612904197,Normal
2009-09-28,2009-11-10,360.790169018857,564.7853552702941,21.539739652281646,Normal
2009-10-05,2009-11-17,360.790169018857,565.0248317804487,21.58033803771404,Normal
2009-10-12,2009-11-24,360.790169018857,540.3605280698544,21.58033803771404,Normal
2009-10-19,2009-12-01,360.790169018857,515.4159909297193,21.58033803771404,Normal
2009-10-26,2009-12-08,360.0,465.81107543914777,20.0,Normal
2009-11-02,2009-12-15,358.2777765431824,462.04618460168365,16.571428566893424,Normal
2009-11-09,2009-12-22,358.0,443.6793304623214,16.0,Normal
2009-11-16,2009-12-29,358.0,416.38061575152915,14.0,Normal
2009-11-23,2010-01-05,358.0,385.968969972776,13.0,Normal
2009-11-30,2010-01-12,356.0,358.9961891642643,10.0,Normal
2009-12-07,2010-01-19,343.3059165131156,339.1529582565578,10.0,Normal
2009-12-14,2010-01-26,330.0,332.75,10.0,Normal
2009-12-21,2010-02-02,254.75,296.06250000468754,10.0,Normal
2009-12-28,2010-02-09,204.5,271.25,9.0,Normal
2010-01-04,2010-02-16,204.0,271.75,8.0,Normal
2010-01-11,2010-02-23,203.0,272.25,7.0,Normal
2010-01-18,2010-03-02,203.0,272.25,6.0,Normal
2010-01-25,2010-03-09,203.0,272.25,6.0,Normal
2010-02-01,2010-03-16,203.0,272.5,6.0,Normal
2010-02-08,2010-03-23,203.0,272.5,6.0,Normal
2010-02-15,2010-03-30,192.5061726870904,267.2530863435452,6.0,Normal
2010-02-22,2010-04-06,178.0,260.0,6.0,Normal
2010-03-01,2010-04-13,178.0,260.0,6.0,Normal
2010-03-08,2010-04-20,178.0,260.0,6.0,Normal
2010-03-15,2010-04-27,178.0,260.0,6.0,Normal
2010-03-22,2010-05-04,178.0,260.0,6.0,Normal
2010-03-29,2010-05-11,178.25,259.625,6.5,Normal
2010-04-05,2010-05-18,203.5,271.75054279000796,7.0,Normal
2010-04-12,2010-05-25,203.5,271.75,7.0,Normal
2010-04-19,2010-06-01,253.5,296.7455880788539,7.0,Normal
2010-04-26,2010-06-08,273.5,306.73683949209556,7.0,Normal
2010-05-03,2010-06-15,278.50580732900494,309.2236223034633,7.007601201321663,Normal
2010-05-10,2010-06-22,278.531679864765,309.1936574859262,7.053434644200912,Normal
2010-05-17,2010-06-29,278.5782269924769,309.13883803678095,7.140625500779649,Normal
2010-05-24,2010-07-06,303.64541727230426,321.5647314663305,7.2691122460136715,Normal
2010-05-31,2010-07-13,309.35703230672334,324.2832966645516,7.438823039282483,Normal
2010-06-07,2010-07-20,320.29951346715524,329.5878341043042,7.649673467856987,Normal
2010-06-14,2010-07-27,328.3678939105862,333.4259544768915,7.901563670926911,Normal
2010-06-21,2010-08-03,354.11976862611016,346.07656708456136,8.194374636293682,Normal
2010-06-28,2010-08-10,354.2894690220896,345.90697150208837,8.527963378078399,Normal
2010-07-05,2010-08-17,354.47945779925624,345.7185607438518,8.902156580064142,Normal
2010-07-12,2010-08-24,354.68962568730547,345.5114772488373,9.316742103201326,Normal
2010-07-19,2010-08-31,254.9198372657742,295.28589606128503,9.7714574703607,Normal
2010-07-26,2010-09-07,230.1699226435358,282.542034740789,10.265973993965831,Normal
2010-08-02,2010-09-14,230.43966574546823,284.7801671272659,10.799874493631034,Normal
2010-08-09,2010-09-21,230.72878747453836,287.00064283508175,11.372621365766182,Normal
2010-08-16,2010-09-28,218.53692092790484,290.4539154723676,11.983509752330415,Normal
2010-08-23,2010-10-05,218.86357391882885,290.14058452181365,12.63159701184666,Normal
2010-08-30,2010-10-12,219.20807051085498,299.81145930241206,13.315593213871427,Normal
2010-09-06,2010-10-19,219.5694564407512,319.4676599587692,14.033684977924233,Normal
2010-09-13,2010-10-26,219.94633942281635,319.11078328437884,14.783239977497756,Normal
2010-09-20,2010-11-02,270.3366052454267,343.74318807282543,15.560285792583734,Normal
2010-09-27,2010-11-09,308.23688016662265,362.1185150952083,16.35853275815667,Normal
2010-10-04,2010-11-16,308.6414288250577,361.7427051304247,17.167395828171028,Normal
2010-10-11,2010-11-23,309.03964949214395,351.37618662070645,17.96757285977182,Normal
2010-10-18,2010-11-30,359.25676584286987,371.12379025155553,18.513531685739746,Normal
2010-10-25,2010-12-07,359.25676584286987,371.12379025155553,18.513531685739746,Normal
2010-11-01,2010-12-14,359.25676584286987,373.62379025155553,18.513531685739746,Normal
2010-11-08,2010-12-21,358.49565365401907,376.6125337905187,17.542694276536903,Normal
2010-11-15,2010-12-28,357.0,378.5,12.5,Normal
2010-11-22,2011-01-04,306.0,354.5,10.0,Normal
2010-11-29,2011-01-11,245.5,325.25,8.0,Normal
2010-12-06,2011-01-18,227.49999904000043,316.2499995200002,8.0,Normal
2010-12-13,2011-01-25,197.0,302.25,7.0,Normal
