DATE,VOLATILITY,VOLATILITY_SAMEMONTH,VOLATILITY_LASTMONTH,VOLATILITY_LASTYEAR,VOLATILITY_SUM,PRICE_SAMEMONTH,PRICE_LASTMONTH,PRICE_LASTYEAR,PRICE_SUM,SUM
2016-01-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2016-02-01,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0
2016-03-01,0.0,0.0,0.0,0.0,0.0,3,0,0,3,3.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,6,3,0,9,9.0
2016-05-01,0.0,0.0,0.0,0.0,0.0,6,5,0,11,11.0
2016-06-01,0.0,0.0,0.0,0.0,0.0,6,5,0,11,11.0
2016-07-01,0.0,0.0,0.0,0.0,0.0,6,5,0,11,11.0
2016-08-01,0.0,0.0,0.0,0.0,0.0,5,5,0,10,10.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,10,6,0,16,16.0
2016-10-01,0.0411330806637822,1.0,1.0,0.0,2.0,14,10,0,24,26.0
2016-11-01,0.0060673621150148,1.0,1.0,0.0,2.0,19,15,0,34,36.0
2016-12-01,0.0048950381988492,1.0,1.0,0.0,2.0,20,19,0,39,41.0
2017-01-01,0.0060776780293259,1.0,1.0,0.0,2.0,20,20,0,40,42.0
2017-02-01,0.006625899670308,1.0,1.0,0.0,2.0,20,20,0,40,42.0
2017-03-01,0.0101121551783605,1.0,1.0,0.0,2.0,20,20,3,43,45.0
2017-04-01,0.0096486572658773,1.0,1.0,0.0,2.0,20,20,7,47,49.0
2017-05-01,0.1190863654709171,2.0,2.0,1.0,5.0,20,20,8,48,53.0
2017-06-01,0.007420987860631,2.0,2.0,1.0,5.0,20,20,8,48,53.0
2017-07-01,0.0059482858200328,3.0,2.0,1.0,6.0,18,19,9,46,52.0
2017-08-01,0.1315813427114395,4.0,3.0,2.0,9.0,14,18,10,42,51.0
2017-09-01,0.0380625305868913,5.0,3.0,3.0,11.0,10,14,11,35,46.0
2017-10-01,0.1090328344602987,5.0,3.0,4.0,12.0,7,12,15,34,46.0
2017-11-01,0.0088082383675293,6.0,3.0,4.0,13.0,7,12,20,39,52.0
2017-12-01,0.0091473601078499,7.0,4.0,4.0,15.0,10,12,20,42,57.0
2018-01-01,0.0054721832774521,7.0,4.0,4.0,15.0,15,16,21,52,67.0
2018-02-01,0.0156002662820585,7.0,4.0,4.0,15.0,19,20,20,59,74.0
2018-03-01,0.0034172991309954,7.0,4.0,4.0,15.0,20,20,20,60,75.0
2018-04-01,0.1099171611633437,8.0,5.0,5.0,18.0,19,19,19,57,75.0
2018-05-01,0.0051217550566888,7.0,4.0,4.0,15.0,20,20,20,60,75.0
2018-06-01,0.1228060183515602,8.0,5.0,5.0,18.0,20,20,20,60,78.0
2018-07-01,0.1717016313192587,8.0,6.0,6.0,20.0,19,19,19,57,77.0
2018-08-01,0.0063189416559745,8.0,5.0,5.0,18.0,20,20,20,60,78.0
2018-09-01,0.010348128809037,8.0,6.0,4.0,18.0,18,18,18,54,72.0
2018-10-01,0.1086082368468808,8.0,6.0,4.0,18.0,14,13,13,40,58.0
2018-11-01,0.1217495992476207,8.0,7.0,5.0,20.0,14,10,10,34,54.0
2018-12-01,0.0091086446188966,8.0,6.0,6.0,20.0,14,10,10,34,54.0
2019-01-01,0.0036900369005077,9.0,6.0,6.0,21.0,14,10,10,34,55.0
2019-02-01,0.0054998213714709,10.0,7.0,6.0,23.0,18,14,14,46,69.0
2019-03-01,0.0091216497146621,11.0,8.0,6.0,25.0,20,18,18,56,81.0
2019-04-01,0.1315905770576298,11.0,8.0,6.0,25.0,20,20,20,60,85.0
2019-05-01,0.0049050910013936,11.0,8.0,6.0,25.0,20,20,20,60,85.0
2019-06-01,0.0069781812647972,11.0,7.0,5.0,23.0,20,20,20,60,83.0
2019-07-01,0.0082939439281504,11.0,7.0,4.0,22.0,20,20,20,60,82.0
2019-08-01,0.0065955573185144,10.0,8.0,4.0,22.0,20,20,20,60,82.0
2019-09-01,0.0054743021353711,9.0,7.0,4.0,20.0,20,20,20,60,80.0
2019-10-01,0.0037865132071201,8.0,6.0,3.0,17.0,20,20,20,60,77.0
2019-11-01,0.0062101513140922,7.0,6.0,2.0,15.0,20,20,20,60,75.0
2019-12-01,0.0174561476143842,7.0,7.0,1.0,15.0,20,20,20,60,75.0
2020-01-01,0.0071570640900709,6.0,7.0,1.0,14.0,20,20,20,60,74.0
2020-02-01,0.0102644302493173,5.0,7.0,1.0,13.0,20,20,20,60,73.0
2020-03-01,0.0075692387555549,4.0,6.0,1.0,11.0,19,19,19,57,68.0
2020-04-01,0.0089923404082522,3.0,5.0,0.0,8.0,20,20,20,60,68.0
2020-05-01,0.0046989515677098,3.0,5.0,0.0,8.0,20,20,20,60,68.0
