STARTDATE,ENDDATE,lastMonth,lastYear,SameMonth,MAXMINRATIO,LOW,HIGH
2016-01-01,2016-02-13,,,Anomaly,1.6611295681063123,YES,NO
2016-01-08,2016-02-20,,,Anomaly,1.32890365448505,YES,NO
2016-01-15,2016-02-27,,,Anomaly,1.32890365448505,YES,NO
2016-01-22,2016-03-05,,,Anomaly,1.6611295681063123,YES,NO
2016-01-29,2016-03-12,,,Anomaly,1.9933554817275747,NO,YES
2016-02-01,2016-03-15,Anomaly,,Anomaly,1.9933554817275747,NO,YES
2016-02-08,2016-03-22,Anomaly,,Anomaly,1.9933554817275747,YES,NO
2016-02-15,2016-03-29,Normal,,Anomaly,2.104097452851605,NO,YES
2016-02-22,2016-04-05,Normal,,Anomaly,2.3255813953488373,NO,YES
2016-02-29,2016-04-12,Anomaly,,Normal,1.745635910224439,YES,NO
2016-03-07,2016-04-19,Anomaly,,Normal,1.745635910224439,YES,NO
2016-03-14,2016-04-26,Anomaly,,Anomaly,1.745635910224439,NO,YES
2016-03-21,2016-05-03,Anomaly,,Anomaly,1.745635910224439,NO,YES
2016-03-28,2016-05-10,Anomaly,,Anomaly,1.745635910224439,YES,NO
2016-04-04,2016-05-17,Anomaly,,Anomaly,1.745635910224439,YES,NO
2016-04-11,2016-05-24,Anomaly,,Anomaly,1.745635910224439,NO,YES
2016-04-18,2016-05-31,Anomaly,,Anomaly,1.9950124688279305,NO,NO
2016-04-25,2016-06-07,Anomaly,,Anomaly,1.9950124688279305,YES,NO
2016-05-02,2016-06-14,Anomaly,,Anomaly,2.244389027431421,YES,NO
2016-05-09,2016-06-21,Anomaly,,Anomaly,2.244389027431421,NO,NO
2016-05-16,2016-06-28,Anomaly,,Anomaly,1.7964071856287425,NO,NO
2016-05-23,2016-07-05,Anomaly,,Anomaly,2.395209580838323,YES,NO
2016-05-30,2016-07-12,Anomaly,,Anomaly,2.395209580838323,YES,NO
2016-06-06,2016-07-19,Anomaly,,Anomaly,2.395209580838323,NO,NO
2016-06-13,2016-07-26,Anomaly,,Anomaly,2.9940119760479043,NO,NO
2016-06-20,2016-08-02,Anomaly,,Anomaly,2.1398002853067046,NO,NO
2016-06-27,2016-08-09,Anomaly,,Anomaly,2.1398002853067046,NO,NO
2016-07-04,2016-08-16,Anomaly,,Anomaly,1.664816870144284,NO,NO
2016-07-11,2016-08-23,Anomaly,,Anomaly,1.664816870144284,NO,NO
2016-07-18,2016-08-30,Anomaly,,Anomaly,1.664816870144284,NO,NO
2016-07-25,2016-09-06,Anomaly,,Anomaly,1.4985014985014986,NO,NO
2016-08-01,2016-09-13,Anomaly,,Anomaly,1.4428412874583796,NO,NO
2016-08-08,2016-09-20,Anomaly,,Anomaly,1.854493580599144,NO,YES
2016-08-15,2016-09-27,Anomaly,,Anomaly,1.854493580599144,NO,YES
2016-08-22,2016-10-04,Anomaly,,Anomaly,1.7593913456609604,NO,YES
2016-08-29,2016-10-11,Anomaly,,Anomaly,1.7118402282453635,NO,YES
2016-09-05,2016-10-18,Anomaly,,Anomaly,1.5691868758915837,NO,YES
2016-09-12,2016-10-25,Anomaly,,Anomaly,1.2838801711840229,NO,YES
2016-09-19,2016-11-01,Anomaly,,Anomaly,1.497504159733777,NO,YES
2016-09-26,2016-11-08,Anomaly,,Anomaly,1.497504159733777,YES,NO
2016-10-03,2016-11-15,Anomaly,,Anomaly,1.3311148086522462,YES,NO
2016-10-10,2016-11-22,Anomaly,,Anomaly,1.7964071856287425,YES,NO
2016-10-17,2016-11-29,Anomaly,,Anomaly,1.7964071856287425,YES,NO
2016-10-24,2016-12-06,Anomaly,,Anomaly,1.7964071856287425,YES,NO
2016-10-31,2016-12-13,Anomaly,,Anomaly,2.244389027431421,YES,NO
2016-11-07,2016-12-20,Anomaly,,Anomaly,2.244389027431421,YES,NO
2016-11-14,2016-12-27,Anomaly,,Normal,2.244389027431421,YES,NO
2016-11-21,2017-01-03,Anomaly,,Normal,1.9950124688279305,YES,NO
2016-11-28,2017-01-10,Anomaly,,Normal,2.6578073089701,YES,NO
2016-12-05,2017-01-17,Anomaly,,Normal,2.159468438464378,YES,NO
2016-12-12,2017-01-24,Anomaly,,Normal,1.6611295681063123,YES,NO
2016-12-19,2017-01-31,Anomaly,,Normal,1.6611295681063123,YES,NO
2016-12-26,2017-02-07,Normal,,Normal,1.6611295681063123,NO,YES
2017-01-01,2017-02-13,Normal,Normal,Normal,1.6611295681063123,YES,NO
2017-01-08,2017-02-20,Normal,Normal,Normal,1.6611295681063123,NO,YES
2017-01-15,2017-02-27,Normal,Normal,Normal,1.6611295681063123,NO,YES
2017-01-22,2017-03-06,Normal,Normal,Normal,2.487562189054726,YES,NO
2017-01-29,2017-03-13,Normal,Anomaly,Normal,2.487562189054726,YES,NO
2017-02-05,2017-03-20,Normal,Anomaly,Normal,2.985074626865672,NO,YES
2017-02-12,2017-03-27,Normal,Anomaly,Normal,2.985074626865672,YES,NO
2017-02-19,2017-04-03,Normal,Normal,Normal,2.985074626865672,YES,NO
2017-02-26,2017-04-10,Normal,Normal,Normal,2.985074626865672,NO,YES
2017-03-05,2017-04-17,Normal,Normal,Normal,1.6827672173064985,YES,NO
2017-03-12,2017-04-24,Normal,Normal,Normal,1.9933554817275747,YES,NO
2017-03-19,2017-05-01,Normal,Normal,Normal,1.9933554817275747,YES,NO
2017-03-26,2017-05-08,Normal,Normal,Normal,1.9933554817275747,YES,NO
2017-04-02,2017-05-15,Normal,Normal,Normal,1.9933554817275747,YES,NO
2017-04-09,2017-05-22,Normal,Normal,Normal,1.9933554817275747,YES,NO
2017-04-16,2017-05-29,Normal,Anomaly,Normal,1.9933554817275747,NO,YES
2017-04-23,2017-06-05,Normal,Anomaly,Normal,1.9933554817275747,YES,NO
2017-04-30,2017-06-12,Normal,Anomaly,Normal,1.9933554817275747,YES,NO
2017-05-07,2017-06-19,Normal,Anomaly,Normal,1.9933554817275747,YES,NO
2017-05-14,2017-06-26,Anomaly,Anomaly,Normal,1.9933554817275747,NO,YES
2017-05-21,2017-07-03,Normal,Anomaly,Normal,1.9933554817275747,YES,NO
2017-05-28,2017-07-10,Normal,Anomaly,Normal,1.9933554817275747,NO,YES
2017-06-04,2017-07-17,Normal,Anomaly,Normal,1.9933554817275747,NO,YES
2017-06-11,2017-07-24,Normal,Anomaly,Normal,1.745635910224439,NO,YES
2017-06-18,2017-07-31,Normal,Anomaly,Normal,1.745635910224439,NO,YES
2017-06-25,2017-08-07,Normal,Anomaly,Normal,1.745635910224439,NO,YES
